unit_group,apps,tag_sales,tags_sold,tags_avail,draw_odds,percent_return,number_of_successful_hunters,percent_of_successful_hunters,point_class_1,point_class_2,point_class_3,point_class_4,point_class_5,point_class_6_plus,percent_4_plus_points,hunt_number,data_year,units_included
11 - 13 Early,517,178,178,178,3 to 1,96,66,38,1,9,34,20,2,0,33,1331,2013,11;12;13
11 - 13 Late,362,44,44,44,9 to 1,89,22,52,0,2,10,8,0,2,45,1331,2013,11;12;13
14 Early,325,84,84,84,4 to 1,88,53,68,0,12,21,16,3,1,38,1331,2013,14
14 Late,372,28,28,28,14 to 1,93,17,64,0,4,10,3,0,0,18,1331,2013,14
15,127,34,34,34,4 to 1,88,13,41,0,2,6,5,0,0,38,1331,2013,15
21,358,36,36,36,10 to 1,94,27,78,0,1,16,7,2,1,37,1331,2013,21
22,331,63,63,63,6 to 1,95,33,54,0,6,8,17,2,0,58,1331,2013,22
31,383,168,168,168,3 to 1,95,88,54,1,18,30,35,4,0,44,1331,2013,31
32,245,146,146,146,2 to 1,93,54,38,1,10,22,19,2,0,39,1331,2013,32
33 Early,117,68,68,68,2 to 1,88,25,40,1,5,11,8,0,0,32,1331,2013,33
33 Late,143,38,38,38,4 to 1,97,22,58,0,4,5,11,1,1,59,1331,2013,33
34,103,43,43,43,3 to 1,91,21,51,0,2,7,11,1,0,57,1331,2013,34
35,180,96,96,96,2 to 1,95,47,50,1,16,11,16,2,1,40,1331,2013,35
41 42,187,52,52,52,4 to 1,98,27,52,0,6,14,6,0,1,26,1331,2013,41;42
43 - 46 Early,468,264,264,264,2 to 1,97,128,49,4,39,51,31,3,0,27,1331,2013,43;44;45;46
43 - 46 Late,371,174,174,174,3 to 1,91,79,48,2,18,33,25,1,0,33,1331,2013,43;44;45;46
51,488,295,295,295,2 to 1,93,101,36,3,26,35,30,5,2,37,1331,2013,51
61 62 64 66 - 68 Early,2169,1403,1403,1403,2 to 1,93,590,44,29,184,178,183,14,2,34,1331,2013,61;62;64;66;67;68
61 62 64 66 - 68 Late,982,154,154,154,7 to 1,94,90,60,1,10,20,40,18,1,66,1331,2013,61;62;64;66;67;68
65,420,49,49,49,9 to 1,94,33,69,0,3,9,18,1,2,64,1331,2013,65
71 - 79 91 Early,1432,768,768,768,2 to 1,93,373,51,21,157,113,77,4,1,22,1331,2013,71;72;73;74;75;76;77;78;79;91
71 - 79 91 Late,910,135,135,135,7 to 1,96,83,63,0,15,21,43,3,1,57,1331,2013,71;72;73;74;75;76;77;78;79;91
81,253,47,47,47,6 to 1,89,22,49,0,1,5,12,3,1,73,1331,2013,81
101 - 109 Early,1365,1240,1240,1240,2 to 1,91,335,28,47,150,83,51,3,1,16,1331,2013,101;102;103;104;105;106;107;108;109
101 - 109 Mid,1297,1240,1240,1240,1 to 1,92,322,27,33,128,93,57,6,3,21,1331,2013,101;102;103;104;105;106;107;108;109
101 - 109 Late,689,358,358,358,2 to 1,93,182,53,8,35,67,63,8,1,36,1331,2013,101;102;103;104;105;106;107;108;109
111 - 113 Early,959,526,526,526,2 to 1,91,166,33,15,81,44,22,3,1,16,1331,2013,111;112;113
111 - 113 Late,275,57,57,57,5 to 1,98,33,58,0,9,6,14,4,0,55,1331,2013,111;112;113
114 115 Early,122,73,73,73,2 to 1,95,16,22,1,3,6,6,0,0,38,1331,2013,114;115
114 115 Late,73,32,32,32,3 to 1,94,12,38,1,1,2,7,0,1,67,1331,2013,114;115
121 Early,342,202,202,202,2 to 1,96,124,63,9,52,31,27,3,2,26,1331,2013,121
121 Late,157,22,22,22,8 to 1,91,17,82,1,5,2,8,1,0,53,1331,2013,121
131 - 134 Early,662,256,256,256,3 to 1,92,154,63,4,37,59,46,7,1,35,1331,2013,131;132;133;134
131 - 134 Late,454,30,30,30,16 to 1,100,23,77,0,3,6,13,0,1,61,1331,2013,131;132;133;134
141 - 145 Early,494,355,355,355,2 to 1,93,132,39,6,52,35,37,2,0,30,1331,2013,141;142;143;144;145
141 - 145 Late,179,55,55,55,4 to 1,95,27,51,2,8,4,10,3,0,48,1331,2013,141;142;143;144;145
151 - 156 Early,464,309,309,309,2 to 1,91,102,35,9,34,36,23,0,0,23,1331,2013,151;152;153;154;155;156
151 - 156 Late,141,35,35,35,5 to 1,86,17,51,0,3,5,9,0,0,53,1331,2013,151;152;153;154;155;156
161 - 164 Early,577,348,348,348,2 to 1,95,138,41,5,41,51,38,3,0,30,1331,2013,161;162;163;164
